员工ID,工号,姓名,所属科室,拟岗位,年龄,性别,最高学历,行龄,司龄,近2年绩效平均分,近2年内绩效为B-及以下的次数,近2年内获得A+的次数,近2年内绩效为A及以上的次数,近1年病假天数,近1年事假天数,近2年牵头项目个数,近2年日均工时,组长/骨干标识,重点项目成员标识,敏捷角色（PO/SM）,内部项目支持（担任PM）,外部项目支持（担任PM）,产品经理-业务分析,产品经理-产品设计,近2年行外发表的论文、杂志的数量,近2年获得的部门级以上奖励、荣誉数量,近2年获得的部门级以上的最高荣誉名称,年度部门内分享/培训次数（作为培训者）,年度部门外培训次数（作为培训者）,年度部门外培训次数（作为被培训者）,年度部门内分享/培训次数（作为被培训者）,近2年带教的实习生数量,近2年带教的校招新行员的数量,近2年带教的实习生转正数量,近2年带教的校招新行员转正成绩为A的数量,近3个月查看知识库会议纪要次数,当年资质证书获取情况,数据分析师-数据分析工具运用能力,数据分析师-算法模型开发能力,数据分析师-营销运营能力,数据研发师-SQL开发,数据研发师-数据模型设计,数据研发师-业务理解,应用研发-技术架构设计,应用研发-应用开发能力,AI算法工程师-数学与建模理论基础,AI算法工程师-编程与工程实现,学习能力,创新思维,任务拆解能力,领导力,团队合作,综合评价（A+、A、A-、B、B-）-直属上级,综合评价（A+、A、A-、B、B-）-同级同事,综合评价（A+、A、A-、B、B-）-下级（如有）,特长,兴趣爱好,_summary,所属分组,近期工作任务,手头项目,工作类型,应用领域,工作饱和度,科室周报联动,考试成绩,成绩等级,代码行数,迟到次数,月度加班时长,技能匹配度,经验丰富度,吃苦耐劳度,创新潜力
1,300001,薛阳,智能应用二部,应用研发,28.0,女,硕士,7.2,1.2,3.09,2,0,0,4,0,0,8.2,0,0,0,0,0,0,0,1,0,无,2,0,1,1,0,0,1,1,16,是,4,5,3,4,3,1,4,3,3,3,4,5,4,3,4,A,B-,A,设计,烹饪,薛阳（智能应用二部/应用研发） | 女，28.0岁，硕士，行龄7.2年 | 绩效3.09分，日均工时8.2h，牵头项目0个 | 最强技能：算法模型开发能力(5分)、数据分析工具运用能力(4分)、SQL开发(4分) | 软技能：创新思维5分/学习能力4分/任务拆解能力4分 | 360评价：上级A/同级B- | 岗位匹配：中(技能均分3.5) | 分组：架构安全组 | 工作类型：开发（含模型、应用、数仓等）/生产运维/测试 | 饱和度：77.0%(正常) | 手头项目：新行员培训项目、A模式POC验证、信贷场景MVP、联机服务集群日常运维与功能迭代,零售应用组,"[""尽调报告助手后端服务开发，完成特征工程模块的接口设计与实现"", ""East数据质量分析安全漏洞修复，完成报表生成模块的代码审计与加固"", ""授信政策管理系统后端服务开发，完成指标计算模块的接口设计与实现"", ""参与零小海信义贷技改代码评审，完成任务调度模块的技术债务清理"", ""参与绿色金融智能体代码评审，完成Prompt管理模块的技术债务清理""]","[""新行员培训项目"", ""A模式POC验证"", ""信贷场景MVP"", ""联机服务集群日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""生产运维"", ""测试""]","[""信贷场景MVP"", ""流水鉴真系统""]","{""总体饱和度"": 77.0, ""开发/实施占比"": 62.8, ""会议沟通占比"": 11.6, ""文档撰写占比"": 5.1, ""学习提升占比"": 20.4, ""负荷等级"": ""正常""}",,70,良好,7446,2,22.8,90,59,63,60
2,300002,黄石伟,信息管理部,需求分析,31.2,男,本科,0.2,5.0,3.19,0,0,1,0,1,3,9.7,1,0,0,0,0,0,0,1,1,技术标兵,1,0,1,1,2,0,0,1,21,是,3,1,4,4,4,1,5,5,4,3,2,4,3,4,5,A,A+,A+,英语,游泳,黄石伟（信息管理部/需求分析） | 男，31.2岁，本科，行龄0.2年 | 绩效3.19分，日均工时9.7h，牵头项目3个 | 角色：组长/骨干 | 最强技能：技术架构设计(5分)、应用开发能力(5分)、营销运营能力(4分) | 软技能：团队合作5分/创新思维4分/领导力4分 | 360评价：上级A/同级A+ | 分组：标准质量组 | 工作类型：需求分析/数据分析/项目管理（含外包管理） | 饱和度：110%(高负荷) | 手头项目：East数据质量AI分析、公共智能体工作站日常运维与功能迭代,管理信息组,"[""数据采集工具业务需求调研，完成报表生成模块的需求文档编写"", ""数据安全脱敏网关系统竞品分析，完成数据接入层的功能对标与差距分析"", ""授信政策管理系统竞品分析，完成前端展示层的功能对标与差距分析""]","[""East数据质量AI分析"", ""公共智能体工作站日常运维与功能迭代""]","[""需求分析"", ""数据分析"", ""项目管理（含外包管理）""]","[""数据测试平台"", ""Hadoop集群""]","{""总体饱和度"": 110, ""开发/实施占比"": 58.3, ""会议沟通占比"": 17.2, ""文档撰写占比"": 11.2, ""学习提升占比"": 13.3, ""负荷等级"": ""高负荷""}",,48,不及格,500,1,29.5,68,56,60,38
3,300003,叶伟,机构服务团队,架构管理,26.5,男,本科,6.5,2.7,2.98,2,1,1,3,2,1,8.8,0,0,0,1,0,0,0,0,1,最佳团队奖,2,1,1,3,1,1,0,0,17,否,3,5,4,2,4,1,3,4,4,3,4,4,4,5,4,B-,A-,A-,设计,羽毛球,叶伟（机构服务团队/架构管理） | 男，26.5岁，本科，行龄6.5年 | 绩效2.98分，日均工时8.8h，牵头项目1个 | 角色：内部PM | 最强技能：算法模型开发能力(5分)、营销运营能力(4分)、数据模型设计(4分) | 软技能：领导力5分/学习能力4分/创新思维4分 | 360评价：上级B-/同级A- | 岗位匹配：中(技能均分3.5) | 分组：项目管理团队 | 工作类型：架构设计/技术评审/项目管理（含外包管理） | 饱和度：96.3%(高负荷) | 手头项目：火山引擎POC、East数据质量AI分析、智能数据血缘分析工具日常运维与功能迭代,非零BP,"[""组织JSON转代码验证技术分享，完成用户权限模块的知识沉淀"", ""数据采集工具技术架构设计，完成推理服务层的方案评审与优化"", ""智能数据血缘分析工具技术选型评估，完成推理服务层的POC验证与决策"", ""智能问数助手性能压测方案设计，完成数据接入层的容量规划"", ""组织NL2SQL产品POC技术分享，完成报表生成模块的知识沉淀""]","[""火山引擎POC"", ""East数据质量AI分析"", ""智能数据血缘分析工具日常运维与功能迭代""]","[""架构设计"", ""技术评审"", ""项目管理（含外包管理）""]","[""East数据质量分析"", ""离线数据开发""]","{""总体饱和度"": 96.3, ""开发/实施占比"": 54.1, ""会议沟通占比"": 15.4, ""文档撰写占比"": 6.0, ""学习提升占比"": 24.5, ""负荷等级"": ""高负荷""}",,67,及格,10390,2,8.5,80,59,67,59
4,300004,董星,智能平台部,算法工程,35.9,男,硕士,3.4,4.2,3.13,2,0,0,1,0,2,6.9,1,0,0,0,0,0,0,0,2,最佳团队奖,2,1,0,2,0,0,0,1,16,否,4,5,4,5,2,4,2,3,2,5,4,5,2,5,5,A,A+,A,数据分析,烹饪,董星（智能平台部/算法工程） | 男，35.9岁，硕士，行龄3.4年 | 绩效3.13分，日均工时6.9h，牵头项目2个 | 角色：组长/骨干 | 最强技能：算法模型开发能力(5分)、SQL开发(5分)、编程与工程实现(5分) | 软技能：创新思维5分/领导力5分/团队合作5分 | 360评价：上级A/同级A+ | 岗位匹配：中(技能均分3.5) | 分组：工具开发组 | 工作类型：开发（含模型、应用、数仓等）/数据分析/项目管理（含外包管理） | 饱和度：87.1%(饱和) | 手头项目：East数据质量AI分析、客服助手日常运维与功能迭代,架构安全组,"[""反电诈管理系统NLP模型部署，完成监控告警模块的推理性能优化"", ""知识库问答系统智能体开发，完成数据清洗模块的Agent工作流设计"", ""实时数据集群模型效果评估，完成缓存层的A/B测试与迭代"", ""授信政策管理系统RAG检索链路开发，完成Prompt管理模块的向量数据库接入""]","[""East数据质量AI分析"", ""客服助手日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""数据分析"", ""项目管理（含外包管理）""]","[""数据运维平台""]","{""总体饱和度"": 87.1, ""开发/实施占比"": 57.5, ""会议沟通占比"": 11.5, ""文档撰写占比"": 10.1, ""学习提升占比"": 20.9, ""负荷等级"": ""饱和""}",,92,优秀,7946,0,9.4,71,77,51,83
5,300005,冯明杰,数据平台部,数据研发,30.5,女,本科,1.4,4.3,3.33,2,1,1,1,2,2,8.0,0,0,0,0,0,0,0,0,0,无,0,0,0,0,0,3,0,1,22,否,1,5,4,4,3,3,3,4,3,3,3,3,4,3,4,A,B,B+,写作,音乐,冯明杰（数据平台部/数据研发） | 女，30.5岁，本科，行龄1.4年 | 绩效3.33分，日均工时8.0h，牵头项目2个 | 最强技能：算法模型开发能力(5分)、营销运营能力(4分)、SQL开发(4分) | 软技能：任务拆解能力4分/团队合作4分/学习能力3分 | 360评价：上级A/同级B | 岗位匹配：中(技能均分3.3) | 分组：对公应用组 | 工作类型：开发（含模型、应用、数仓等）/数据治理/测试 | 饱和度：75.2%(正常) | 手头项目：智能问数二期、智能外呼分析日常运维与功能迭代,运维支持组,"[""零售客户关系管理数据质量检核规则配置，修复可视化组件数据异常"", ""参与Openclaw框架调研数据架构评审，输出数据清洗模块技术方案"", ""授信政策管理系统数仓分层建设，完成Prompt管理模块的数据接入与清洗"", ""公共智能体工作站SQL性能调优，解决模型训练层慢查询问题"", ""智能尽调助手实时数据链路开发，完成Prompt管理模块的流式计算任务""]","[""智能问数二期"", ""智能外呼分析日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""数据治理"", ""测试""]","[""智能问数助手""]","{""总体饱和度"": 75.2, ""开发/实施占比"": 54.3, ""会议沟通占比"": 10.9, ""文档撰写占比"": 13.0, ""学习提升占比"": 21.7, ""负荷等级"": ""正常""}",,98,优秀,12774,0,27.4,77,67,67,47
6,300006,廖夏,数据开发部,项目管理,30.5,女,本科,0.5,3.3,2.82,0,2,3,1,1,0,7.3,1,0,0,0,0,0,0,0,0,无,0,0,0,5,2,0,1,1,22,是,3,1,2,5,5,3,4,3,3,2,3,3,3,4,4,B,B-,B+,演讲,羽毛球,廖夏（数据开发部/项目管理） | 女，30.5岁，本科，行龄0.5年 | 绩效2.82分，日均工时7.3h，牵头项目0个 | 角色：组长/骨干 | 最强技能：SQL开发(5分)、数据模型设计(5分)、技术架构设计(4分) | 软技能：领导力4分/团队合作4分/学习能力3分 | 360评价：上级B/同级B- | 分组：监管统计组 | 工作类型：项目管理（含外包管理）/需求分析/其他 | 饱和度：80.5%(正常) | 手头项目：知识库问答体系建设、客户经理超级工作台日常运维与功能迭代,应用开发组,"[""火山引擎POC预算管理，完成特征工程模块的费用核算与控制"", ""外搜接口采购进度跟踪与风险预警，完成向量检索模块的周报汇总"", ""信用卡智能后督项目复盘，输出报表生成模块的经验教训与改进措施"", ""新行员培训项目资源协调，完成Prompt管理模块的跨部门沟通与对齐""]","[""知识库问答体系建设"", ""客户经理超级工作台日常运维与功能迭代""]","[""项目管理（含外包管理）"", ""需求分析"", ""其他""]","[""离线数据开发"", ""尽调报告助手""]","{""总体饱和度"": 80.5, ""开发/实施占比"": 58.9, ""会议沟通占比"": 13.8, ""文档撰写占比"": 12.9, ""学习提升占比"": 14.4, ""负荷等级"": ""正常""}",,49,不及格,6157,1,30.6,79,63,61,76
7,300007,黎河川,数据平台部,应用研发,28.9,女,本科,2.8,2.2,3.52,1,0,1,1,1,2,7.7,0,0,0,0,0,0,0,1,0,无,0,1,1,2,2,0,0,0,24,是,1,2,3,2,5,5,2,2,3,4,5,3,4,5,3,A-,A,A-,编程,阅读,黎河川（数据平台部/应用研发） | 女，28.9岁，本科，行龄2.8年 | 绩效3.52分，日均工时7.7h，牵头项目2个 | 最强技能：数据模型设计(5分)、编程与工程实现(4分)、营销运营能力(3分) | 软技能：学习能力5分/领导力5分/任务拆解能力4分 | 360评价：上级A-/同级A | 岗位匹配：低-错配风险(技能均分2.0) | 分组：架构安全组 | 工作类型：开发（含模型、应用、数仓等）/测试/生产运维 | 饱和度：83.1%(正常) | 手头项目：智能工单场景、离线数据开发日常运维与功能迭代,数据服务组,"[""大模型智能体后端服务开发，完成API网关模块的接口设计与实现"", ""实时开发平台安全漏洞修复，完成API网关模块的代码审计与加固"", ""参与极客大赛代码评审，完成Prompt管理模块的技术债务清理"", ""DWS数据集群性能优化，完成测试框架的并发处理能力提升""]","[""智能工单场景"", ""离线数据开发日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""测试"", ""生产运维""]","[""客服助手""]","{""总体饱和度"": 83.1, ""开发/实施占比"": 65.7, ""会议沟通占比"": 18.3, ""文档撰写占比"": 13.3, ""学习提升占比"": 2.7, ""负荷等级"": ""正常""}",,77,良好,11725,1,11.6,70,75,87,61
8,300008,高云涛,数据开发部,应用研发,31.3,男,硕士,5.1,2.4,3.95,0,1,1,1,2,0,7.7,0,0,0,0,0,0,0,1,0,无,2,0,1,0,2,0,0,1,19,否,2,4,3,5,5,2,4,4,4,3,1,4,1,3,3,B,B-,A,写作,烹饪,高云涛（数据开发部/应用研发） | 男，31.3岁，硕士，行龄5.1年 | 绩效3.95分，日均工时7.7h，牵头项目0个 | 最强技能：SQL开发(5分)、数据模型设计(5分)、算法模型开发能力(4分) | 软技能：创新思维4分/领导力3分/团队合作3分 | 360评价：上级B/同级B- | 岗位匹配：高(技能均分4.0) | 分组：项目管理团队 | 工作类型：开发（含模型、应用、数仓等）/测试/生产运维 | 饱和度：70.4%(正常) | 手头项目：授信政策知识体系、智能外呼分析、极客大赛、智能问数助手日常运维与功能迭代,模型设计组,"[""实时数据集群前端页面开发，完成特征工程模块的交互逻辑优化"", ""信贷场景MVP容器化部署，完成监控告警模块的CI/CD流程配置"", ""参与超级工作台MVP代码评审，完成日志审计模块的技术债务清理"", ""授信政策管理系统微服务架构升级，完成缓存层的服务拆分与治理""]","[""授信政策知识体系"", ""智能外呼分析"", ""极客大赛"", ""智能问数助手日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""测试"", ""生产运维""]","[""AI手机银行""]","{""总体饱和度"": 70.4, ""开发/实施占比"": 48.7, ""会议沟通占比"": 15.8, ""文档撰写占比"": 10.6, ""学习提升占比"": 24.8, ""负荷等级"": ""正常""}",,62,及格,3574,3,8.0,80,58,77,89
9,300009,宋阳智,机构服务团队,算法工程,34.5,男,本科,2.9,2.0,3.07,0,0,2,1,0,2,7.6,1,0,0,0,0,0,0,0,0,无,0,1,0,1,1,1,1,0,22,否,2,1,3,2,4,3,4,3,3,4,5,5,4,3,4,A+,A,B-,培训,阅读,宋阳智（机构服务团队/算法工程） | 男，34.5岁，本科，行龄2.9年 | 绩效3.07分，日均工时7.6h，牵头项目2个 | 角色：组长/骨干 | 最强技能：数据模型设计(4分)、技术架构设计(4分)、编程与工程实现(4分) | 软技能：学习能力5分/创新思维5分/任务拆解能力4分 | 360评价：上级A+/同级A | 岗位匹配：中(技能均分3.5) | 分组：项目管理团队 | 工作类型：开发（含模型、应用、数仓等）/项目管理（含外包管理）/数据分析 | 饱和度：94.3%(饱和) | 手头项目：信雅达POC、DataFun论坛项目、反诈机器学习模型、知识库问答系统日常运维与功能迭代,分行BP,"[""金牌催收员机器学习模型训练，完成数据接入层的特征工程与调参"", ""尽调报告助手RAG检索链路开发，完成API网关模块的向量数据库接入"", ""Hadoop数据仓库机器学习模型训练，完成推理服务层的特征工程与调参"", ""长文本智能分析模型效果评估，完成推理服务层的A/B测试与迭代""]","[""信雅达POC"", ""DataFun论坛项目"", ""反诈机器学习模型"", ""知识库问答系统日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""项目管理（含外包管理）"", ""数据分析""]","[""信用风险监测预警"", ""Kafka消息集群""]","{""总体饱和度"": 94.3, ""开发/实施占比"": 58.5, ""会议沟通占比"": 16.9, ""文档撰写占比"": 13.3, ""学习提升占比"": 11.3, ""负荷等级"": ""饱和""}",,69,及格,14258,2,5.8,90,86,72,60
10,300010,余清昊,信息统计部,架构管理,26.3,男,本科,6.3,2.1,4.25,1,0,1,3,0,2,6.8,0,0,0,0,1,0,0,0,1,创新奖,4,1,0,2,1,0,1,0,23,否,5,2,4,3,3,5,3,2,5,3,4,4,1,2,3,A-,B-,A-,数据分析,旅游,余清昊（信息统计部/架构管理） | 男，26.3岁，本科，行龄6.3年 | 绩效4.25分，日均工时6.8h，牵头项目2个 | 角色：外部PM | 最强技能：数据分析工具运用能力(5分)、数学与建模理论基础(5分)、营销运营能力(4分) | 软技能：学习能力4分/创新思维4分/团队合作3分 | 360评价：上级A-/同级B- | 岗位匹配：低-错配风险(技能均分2.5) | 分组：AI产品运营组 | 工作类型：架构设计/项目管理（含外包管理）/技术评审 | 饱和度：68.1%(偏低) | 手头项目：对公信贷智能化、客服辅助项目、信用卡智能后督、综合监管报送日常运维与功能迭代,监管统计组,"[""数据运维平台云原生架构规划，完成特征工程模块的容器化改造方案"", ""联机服务集群技术选型评估，完成任务调度模块的POC验证与决策"", ""组织大模型客服技改技术分享，完成缓存层的知识沉淀"", ""会话式人工智能服务技术架构设计，完成API网关模块的方案评审与优化"", ""客服助手性能压测方案设计，完成监控告警模块的容量规划""]","[""对公信贷智能化"", ""客服辅助项目"", ""信用卡智能后督"", ""综合监管报送日常运维与功能迭代""]","[""架构设计"", ""项目管理（含外包管理）"", ""技术评审""]","[""尽调报告助手"", ""AI手机银行""]","{""总体饱和度"": 68.1, ""开发/实施占比"": 67.8, ""会议沟通占比"": 24.8, ""文档撰写占比"": 11.8, ""学习提升占比"": 0, ""负荷等级"": ""偏低""}",,57,不及格,4842,0,27.4,62,60,86,72
